LOC,ZC,CITY,BOUROUGHS_STATE,LAT,LONG,num_calls,BOUROUGHS,STATE
Club/Bar/Restaurant,10019.0,NEW YORK,"MANHATTAN, NY",-73.98165065,-73.98165065,44,,
Club/Bar/Restaurant,11205.0,,"BROOKLYN, NY",-73.96078695,-73.96078695,40,,
Club/Bar/Restaurant,10003.0,NEW YORK,"MANHATTAN, NY",-73.9848383,-73.9848383,80,,
Club/Bar/Restaurant,10027.0,NEW YORK,"MANHATTAN, NY",-73.95852336,-73.95852336,118,,
Club/Bar/Restaurant,10014.0,NEW YORK,"MANHATTAN, NY",-74.00183297,-74.00183297,217,,
Club/Bar/Restaurant,10475.0,BRONX,"BRONX, NY",-73.82769936,-73.82769936,10,,
Club/Bar/Restaurant,10017.0,NEW YORK,"MANHATTAN, NY",-73.97327568,-73.97327568,16,,
Club/Bar/Restaurant,11215.0,,"BROOKLYN, NY",-73.98791847,-73.98791847,93,,
Club/Bar/Restaurant,11693.0,FAR ROCKAWAY,"QUEENS, NY",-73.81903413,-73.81903413,106,,
Club/Bar/Restaurant,11207.0,,"BROOKLYN, NY",-73.90573918,-73.90573918,117,,
Club/Bar/Restaurant,10036.0,NEW YORK,"MANHATTAN, NY",-73.98928635,-73.98928635,42,,
Club/Bar/Restaurant,11211.0,,"BROOKLYN, NY",-73.95482851,-73.95482851,36,,
Club/Bar/Restaurant,10002.0,NEW YORK,"MANHATTAN, NY",-73.98907949,-73.98907949,98,,
Club/Bar/Restaurant,10029.0,NEW YORK,"MANHATTAN, NY",-73.93552852,-73.93552852,148,,
Club/Bar/Restaurant,10013.0,NEW YORK,"MANHATTAN, NY",-73.99950577,-73.99950577,10,,
Club/Bar/Restaurant,11209.0,,"BROOKLYN, NY",-74.02677137,-74.02677137,25,,
Club/Bar/Restaurant,10009.0,NEW YORK,"MANHATTAN, NY",-73.97832075,-73.97832075,127,,
Club/Bar/Restaurant,10456.0,BRONX,"BRONX, NY",-73.91310235,-73.91310235,65,,
Club/Bar/Restaurant,11106.0,ASTORIA,"QUEENS, NY",-73.93008771,-73.93008771,18,,
Club/Bar/Restaurant,11222.0,,"BROOKLYN, NY",-73.95838458,-73.95838458,93,,
Club/Bar/Restaurant,11209.0,,"BROOKLYN, NY",-74.02683617,-74.02683617,143,,
Club/Bar/Restaurant,11106.0,ASTORIA,"QUEENS, NY",-73.92819586,-73.92819586,267,,
Club/Bar/Restaurant,11249.0,,"BROOKLYN, NY",-73.95792662,-73.95792662,64,,
Club/Bar/Restaurant,11249.0,,"BROOKLYN, NY",-73.96654457,-73.96654457,70,,
Club/Bar/Restaurant,11377.0,WOODSIDE,"QUEENS, NY",-73.90524869,-73.90524869,45,,
Club/Bar/Restaurant,10011.0,NEW YORK,"MANHATTAN, NY",-73.99646701,-73.99646701,85,,
Club/Bar/Restaurant,10003.0,NEW YORK,"MANHATTAN, NY",-73.98493936,-73.98493936,41,,
Club/Bar/Restaurant,10013.0,NEW YORK,"MANHATTAN, NY",-74.0002886,-74.0002886,55,,
Club/Bar/Restaurant,11420.0,SOUTH OZONE PARK,"QUEENS, NY",-73.81819204,-73.81819204,95,,
Club/Bar/Restaurant,11218.0,,"BROOKLYN, NY",-73.97814065,-73.97814065,183,,
Club/Bar/Restaurant,11369.0,EAST ELMHURST,"QUEENS, NY",-73.87813729,-73.87813729,59,,
Club/Bar/Restaurant,11211.0,,"BROOKLYN, NY",-73.94278797,-73.94278797,27,,
Club/Bar/Restaurant,10010.0,NEW YORK,"MANHATTAN, NY",-73.99208259,-73.99208259,40,,
Club/Bar/Restaurant,10018.0,NEW YORK,"MANHATTAN, NY",-73.98636819,-73.98636819,30,,
Club/Bar/Restaurant,10028.0,NEW YORK,"MANHATTAN, NY",-73.95102149,-73.95102149,22,,
Club/Bar/Restaurant,10002.0,NEW YORK,"MANHATTAN, NY",-73.99370114,-73.99370114,87,,
Club/Bar/Restaurant,10018.0,NEW YORK,"MANHATTAN, NY",-73.994297,-73.994297,16,,
Club/Bar/Restaurant,10019.0,NEW YORK,"MANHATTAN, NY",-73.98728192,-73.98728192,60,,
Club/Bar/Restaurant,10016.0,NEW YORK,"MANHATTAN, NY",-73.9769377,-73.9769377,48,,
Club/Bar/Restaurant,10014.0,NEW YORK,"MANHATTAN, NY",-74.00327627,-74.00327627,31,,
Club/Bar/Restaurant,11222.0,,"BROOKLYN, NY",-73.95326078,-73.95326078,16,,
Club/Bar/Restaurant,10028.0,NEW YORK,"MANHATTAN, NY",-73.95253489,-73.95253489,11,,
Club/Bar/Restaurant,11211.0,,"BROOKLYN, NY",-73.95029487,-73.95029487,40,,
Club/Bar/Restaurant,10034.0,NEW YORK,"MANHATTAN, NY",-73.92253385,-73.92253385,141,,
Club/Bar/Restaurant,10034.0,NEW YORK,"MANHATTAN, NY",-73.92121362,-73.92121362,16,,
Club/Bar/Restaurant,11211.0,,"BROOKLYN, NY",-73.95605473,-73.95605473,38,,
Club/Bar/Restaurant,10009.0,NEW YORK,"MANHATTAN, NY",-73.9836492,-73.9836492,32,,
Club/Bar/Restaurant,10307.0,STATEN ISLAND,"STATEN ISLAND, NY",-74.24054207,-74.24054207,36,,
Club/Bar/Restaurant,10001.0,NEW YORK,"MANHATTAN, NY",-73.98454214,-73.98454214,63,,
Club/Bar/Restaurant,11209.0,,"BROOKLYN, NY",-74.02509733,-74.02509733,57,,
Club/Bar/Restaurant,10012.0,NEW YORK,"MANHATTAN, NY",-74.000184,-74.000184,40,,
Club/Bar/Restaurant,11205.0,,"BROOKLYN, NY",-73.97198946,-73.97198946,16,,
Club/Bar/Restaurant,10011.0,NEW YORK,"MANHATTAN, NY",-74.00112587,-74.00112587,76,,
Club/Bar/Restaurant,10016.0,NEW YORK,"MANHATTAN, NY",-73.97792905,-73.97792905,13,,
Club/Bar/Restaurant,10038.0,NEW YORK,"MANHATTAN, NY",-74.0042019,-74.0042019,17,,
Club/Bar/Restaurant,11211.0,,"BROOKLYN, NY",-73.95712905,-73.95712905,34,,
Club/Bar/Restaurant,10016.0,NEW YORK,"MANHATTAN, NY",-73.98600864,-73.98600864,40,,
Club/Bar/Restaurant,11208.0,,"BROOKLYN, NY",-73.87725059,-73.87725059,19,,
Club/Bar/Restaurant,10034.0,NEW YORK,"MANHATTAN, NY",-73.91657993,-73.91657993,28,,
Club/Bar/Restaurant,11217.0,,"BROOKLYN, NY",-73.97476588,-73.97476588,114,,
Club/Bar/Restaurant,10034.0,NEW YORK,"MANHATTAN, NY",-73.92523119,-73.92523119,194,,
Club/Bar/Restaurant,11105.0,ASTORIA,"QUEENS, NY",-73.91512641,-73.91512641,82,,
Club/Bar/Restaurant,11106.0,ASTORIA,"QUEENS, NY",-73.92601303,-73.92601303,87,,
Club/Bar/Restaurant,10012.0,NEW YORK,"MANHATTAN, NY",-74.00275643,-74.00275643,14,,
Club/Bar/Restaurant,11223.0,,"BROOKLYN, NY",-73.96126399,-73.96126399,45,,
Club/Bar/Restaurant,10009.0,NEW YORK,"MANHATTAN, NY",-73.98223737,-73.98223737,66,,
Club/Bar/Restaurant,10022.0,NEW YORK,"MANHATTAN, NY",-73.96709552,-73.96709552,44,,
Club/Bar/Restaurant,10011.0,NEW YORK,"MANHATTAN, NY",-74.00108618,-74.00108618,49,,
Club/Bar/Restaurant,10002.0,NY,"MANHATTAN, NY",-73.99171409,-73.99171409,184,,
Club/Bar/Restaurant,11205.0,,"BROOKLYN, NY",-73.96710163,-73.96710163,108,,
Club/Bar/Restaurant,11226.0,,"BROOKLYN, NY",-73.95128856,-73.95128856,287,,
Club/Bar/Restaurant,11218.0,,"BROOKLYN, NY",-73.97802189,-73.97802189,55,,
Club/Bar/Restaurant,10030.0,NEW YORK,"MANHATTAN, NY",-73.9422565,-73.9422565,120,,
Club/Bar/Restaurant,10009.0,NEW YORK,"MANHATTAN, NY",-73.97836993,-73.97836993,62,,
Club/Bar/Restaurant,11205.0,,"BROOKLYN, NY",-73.96476476,-73.96476476,16,,
Club/Bar/Restaurant,10014.0,NEW YORK,"MANHATTAN, NY",-74.00300933,-74.00300933,301,,
Club/Bar/Restaurant,10024.0,NEW YORK,"MANHATTAN, NY",-73.97298193,-73.97298193,186,,
Club/Bar/Restaurant,11205.0,,"BROOKLYN, NY",-73.96920047,-73.96920047,75,,
Club/Bar/Restaurant,10003.0,NEW YORK,"MANHATTAN, NY",-73.98823774,-73.98823774,183,,
Club/Bar/Restaurant,10464.0,BRONX,"BRONX, NY",-73.78944935,-73.78944935,12,,
Club/Bar/Restaurant,11209.0,,"BROOKLYN, NY",-74.02723013,-74.02723013,70,,
Club/Bar/Restaurant,11106.0,ASTORIA,"QUEENS, NY",-73.92364989,-73.92364989,42,,
Club/Bar/Restaurant,10034.0,NEW YORK,"MANHATTAN, NY",-73.92765489,-73.92765489,126,,
Club/Bar/Restaurant,11355.0,FLUSHING,"QUEENS, NY",-73.81543034,-73.81543034,16,,
Club/Bar/Restaurant,11414.0,HOWARD BEACH,"QUEENS, NY",-73.83758618,-73.83758618,399,,
Club/Bar/Restaurant,11209.0,,"BROOKLYN, NY",-74.03163848,-74.03163848,15,,
Club/Bar/Restaurant,11205.0,,"BROOKLYN, NY",-73.96460248,-73.96460248,36,,
Club/Bar/Restaurant,10038.0,NEW YORK,"MANHATTAN, NY",-74.00376907,-74.00376907,20,,
Club/Bar/Restaurant,11416.0,OZONE PARK,"QUEENS, NY",-73.84149102,-73.84149102,32,,
Club/Bar/Restaurant,11226.0,,"BROOKLYN, NY",-73.95197214,-73.95197214,42,,
Club/Bar/Restaurant,10463.0,BRONX,"BRONX, NY",-73.90430103,-73.90430103,17,,
Club/Bar/Restaurant,10036.0,NEW YORK,"MANHATTAN, NY",-73.98904452,-73.98904452,11,,
Club/Bar/Restaurant,11226.0,,"BROOKLYN, NY",-73.95130637,-73.95130637,26,,
Club/Bar/Restaurant,11215.0,,"BROOKLYN, NY",-73.99409972,-73.99409972,30,,
Club/Bar/Restaurant,11249.0,,"BROOKLYN, NY",-73.95542824,-73.95542824,102,,
Club/Bar/Restaurant,11101.0,LONG ISLAND CITY,"QUEENS, NY",-73.92120466,-73.92120466,129,,
Club/Bar/Restaurant,11201.0,,"BROOKLYN, NY",-73.99090992,-73.99090992,23,,
